Taux de chômage par sexe et région (%),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sexe,Région,Milieu,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total,Ensemble,National,9.7,9.4,10.2,9.5,9.2,11.9,12.3,11.8,13
Total,Ensemble,Urbain,14.6,13.9,14.7,13.8,12.9,15.8,16.9,15.8,16.8
Total,Ensemble,Rural,4.1,4.2,4,3.6,3.7,5.9,5,5.2,6.3
Total,Tanger-Tétouan-Al Hoceïma,National,14.6,13.9,14.7,13.8,12.9,15.8,16.9,15.8,16.8
Total,Tanger-Tétouan-Al Hoceïma,Urbain,16.3,14.2,11.5,10.6,11.9,14.1,15.5,14.1,14.1
Total,Tanger-Tétouan-Al Hoceïma,Rural,4.4,4.1,3.9,3.6,3.6,4.7,3.2,3.4,4.2
Total,Oriental,National,4.1,4.2,4,3.6,3.7,5.9,5,5.2,6.3
Total,Oriental,Urbain,4.4,4.1,3.9,3.6,3.6,4.7,3.2,3.4,4.2
Total,Oriental,Rural,10,10.8,11,5,9.2,15.9,11.9,12.4,15.2
Total,Fès-Meknès,National,-,-,-,-,-,-,-,-,-
Total,Fès-Meknès,Urbain,-,-,-,-,-,-,-,-,-
Total,Fès-Meknès,Rural,-,-,-,-,-,-,-,-,-
Total,Rabat-Salé-Kénitra,National,-,-,-,-,-,-,-,-,-
Total,Rabat-Salé-Kénitra,Urbain,-,-,-,-,-,-,-,-,-
Total,Rabat-Salé-Kénitra,Rural,-,-,-,-,-,-,-,-,-
Total,Béni Mellal-Khénifra,National,-,-,-,-,-,-,-,-,-
Total,Béni Mellal-Khénifra,Urbain,-,-,-,-,-,-,-,-,-
Total,Béni Mellal-Khénifra,Rural,-,-,-,-,-,-,-,-,-
Total,Casablanca-settat,National,-,-,-,-,-,-,-,-,-
Total,Casablanca-settat,Urbain,-,-,-,-,-,-,-,-,-
Total,Casablanca-settat,Rural,-,-,-,-,-,-,-,-,-
Total,Marrakech-safi,National,-,-,-,-,-,-,-,-,-
Total,Marrakech-safi,Urbain,-,-,-,-,-,-,-,-,-
Total,Marrakech-safi,Rural,-,-,-,-,-,-,-,-,-
Total,Drâa-Tafilalet,National,-,-,-,-,-,-,-,-,-
Total,Drâa-Tafilalet,Urbain,-,-,-,-,-,-,-,-,-
Total,Drâa-Tafilalet,Rural,-,-,-,-,-,-,-,-,-
Total,Souss-Massa,National,-,-,-,-,-,-,-,-,-
Total,Souss-Massa,Urbain,-,-,-,-,-,-,-,-,-
Total,Souss-Massa,Rural,-,-,-,-,-,-,-,-,-
Total,Régions du Sud,National,-,-,-,-,-,-,-,-,-
Total,Régions du Sud,Urbain,-,-,-,-,-,-,-,-,-
Total,Régions du Sud,Rural,-,-,-,-,-,-,-,-,-
Masculin,Ensemble,National,14.6,13.9,14.7,13.8,12.9,15.8,16.9,15.8,16.8
Masculin,Ensemble,Urbain,16.3,14.2,11.5,10.6,11.9,14.1,15.5,14.1,14.1
Masculin,Ensemble,Rural,4.4,4.1,3.9,3.6,3.6,4.7,3.2,3.4,4.2
Masculin,Tanger-Tétouan-Al Hoceïma,National,16.3,14.2,11.5,10.6,11.9,14.1,15.5,14.1,14.1
Masculin,Tanger-Tétouan-Al Hoceïma,Urbain,14.8,12,9.1,8.4,9.2,11.5,13.4,11.8,12.1
Masculin,Tanger-Tétouan-Al Hoceïma,Rural,5.1,4.5,4.3,6.3,3.8,4.8,3.7,4.1,5.1
Masculin,Oriental,National,4.4,4.1,3.9,3.6,3.6,4.7,3.2,3.4,4.2
Masculin,Oriental,Urbain,5.1,4.5,4.3,6.3,3.8,4.8,3.7,4.1,5.1
Masculin,Oriental,Rural,11.7,11.4,11.7,3.6,10.5,17.8,12.8,12.8,16.1
Masculin,Fès-Meknès,National,-,-,-,-,-,-,-,-,-
Masculin,Fès-Meknès,Urbain,-,-,-,-,-,-,-,-,-
Masculin,Fès-Meknès,Rural,-,-,-,-,-,-,-,-,-
Masculin,Rabat-Salé-Kénitra,National,-,-,-,-,-,-,-,-,-
Masculin,Rabat-Salé-Kénitra,Urbain,-,-,-,-,-,-,-,-,-
Masculin,Rabat-Salé-Kénitra,Rural,-,-,-,-,-,-,-,-,-
Masculin,Béni Mellal-Khénifra,National,-,-,-,-,-,-,-,-,-
Masculin,Béni Mellal-Khénifra,Urbain,-,-,-,-,-,-,-,-,-
Masculin,Béni Mellal-Khénifra,Rural,-,-,-,-,-,-,-,-,-
Masculin,Casablanca-settat,National,-,-,-,-,-,-,-,-,-
Masculin,Casablanca-settat,Urbain,-,-,-,-,-,-,-,-,-
Masculin,Casablanca-settat,Rural,-,-,-,-,-,-,-,-,-
Masculin,Marrakech-safi,National,-,-,-,-,-,-,-,-,-
Masculin,Marrakech-safi,Urbain,-,-,-,-,-,-,-,-,-
Masculin,Marrakech-safi,Rural,-,-,-,-,-,-,-,-,-
Masculin,Drâa-Tafilalet,National,-,-,-,-,-,-,-,-,-
Masculin,Drâa-Tafilalet,Urbain,-,-,-,-,-,-,-,-,-
Masculin,Drâa-Tafilalet,Rural,-,-,-,-,-,-,-,-,-
Masculin,Souss-Massa,National,-,-,-,-,-,-,-,-,-
Masculin,Souss-Massa,Urbain,-,-,-,-,-,-,-,-,-
Masculin,Souss-Massa,Rural,-,-,-,-,-,-,-,-,-
Masculin,Régions du Sud,National,-,-,-,-,-,-,-,-,-
Masculin,Régions du Sud,Urbain,-,-,-,-,-,-,-,-,-
Masculin,Régions du Sud,Rural,-,-,-,-,-,-,-,-,-
Féminin,Ensemble,National,4.1,4.2,4,3.6,3.7,5.9,5,5.2,6.3
Féminin,Ensemble,Urbain,4.4,4.1,3.9,3.6,3.6,4.7,3.2,3.4,4.2
Féminin,Ensemble,Rural,10,10.8,11,5,9.2,15.9,11.9,12.4,15.2
Féminin,Tanger-Tétouan-Al Hoceïma,National,4.4,4.1,3.9,3.6,3.6,4.7,3.2,3.4,4.2
Féminin,Tanger-Tétouan-Al Hoceïma,Urbain,5.1,4.5,4.3,6.3,3.8,4.8,3.7,4.1,5.1
Féminin,Tanger-Tétouan-Al Hoceïma,Rural,11.7,11.4,11.7,3.6,10.5,17.8,12.8,12.8,16.1
Féminin,Oriental,National,10,10.8,11,5,9.2,15.9,11.9,12.4,15.2
Féminin,Oriental,Urbain,11.7,11.4,11.7,3.6,10.5,17.8,12.8,12.8,16.1
Féminin,Oriental,Rural,5.1,8.8,7.9,10.5,-,-,7.4,10.6,10
Féminin,Fès-Meknès,National,-,-,-,-,-,-,-,-,-
Féminin,Fès-Meknès,Urbain,-,-,-,-,-,-,-,-,-
Féminin,Fès-Meknès,Rural,-,-,-,-,-,-,-,-,-
Féminin,Rabat-Salé-Kénitra,National,-,-,-,-,-,-,-,-,-
Féminin,Rabat-Salé-Kénitra,Urbain,-,-,-,-,-,-,-,-,-
Féminin,Rabat-Salé-Kénitra,Rural,-,-,-,-,-,-,-,-,-
Féminin,Béni Mellal-Khénifra,National,-,-,-,-,-,-,-,-,-
Féminin,Béni Mellal-Khénifra,Urbain,-,-,-,-,-,-,-,-,-
Féminin,Béni Mellal-Khénifra,Rural,-,-,-,-,-,-,-,-,-
Féminin,Casablanca-settat,National,-,-,-,-,-,-,-,-,-
Féminin,Casablanca-settat,Urbain,-,-,-,-,-,-,-,-,-
Féminin,Casablanca-settat,Rural,-,-,-,-,-,-,-,-,-
Féminin,Marrakech-safi,National,-,-,-,-,-,-,-,-,-
Féminin,Marrakech-safi,Urbain,-,-,-,-,-,-,-,-,-
Féminin,Marrakech-safi,Rural,-,-,-,-,-,-,-,-,-
Féminin,Drâa-Tafilalet,National,-,-,-,-,-,-,-,-,-
Féminin,Drâa-Tafilalet,Urbain,-,-,-,-,-,-,-,-,-
Féminin,Drâa-Tafilalet,Rural,-,-,-,-,-,-,-,-,-
Féminin,Souss-Massa,National,-,-,-,-,-,-,-,-,-
Féminin,Souss-Massa,Urbain,-,-,-,-,-,-,-,-,-
Féminin,Souss-Massa,Rural,-,-,-,-,-,-,-,-,-
Féminin,Régions du Sud,National,-,-,-,-,-,-,-,-,-
Féminin,Régions du Sud,Urbain,-,-,-,-,-,-,-,-,-
Féminin,Régions du Sud,Rural,-,-,-,-,-,-,-,-,-
