Sexe,Région,Milieu,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total,Ensemble,National,9.7,9.4,10.2,9.5,9.2,11.9,12.3,11.8,13.0
Total,Ensemble,Urbain,14.6,13.9,14.7,13.8,12.9,15.8,16.9,15.8,16.8
Total,Ensemble,Rural,4.1,4.2,4.0,3.6,3.7,5.9,5.0,5.2,6.3
Total,Tanger-Tétouan-Al Hoceïma,National,14.6,13.9,14.7,13.8,12.9,15.8,16.9,15.8,16.8
Total,Tanger-Tétouan-Al Hoceïma,Urbain,16.3,14.2,11.5,10.6,11.9,14.1,15.5,14.1,14.1
Total,Tanger-Tétouan-Al Hoceïma,Rural,4.4,4.1,3.9,3.6,3.6,4.7,3.2,3.4,4.2
Total,Oriental,National,4.1,4.2,4.0,3.6,3.7,5.9,5.0,5.2,6.3
Total,Oriental,Urbain,4.4,4.1,3.9,3.6,3.6,4.7,3.2,3.4,4.2
Total,Oriental,Rural,10.0,10.8,11.0,5.0,9.2,15.9,11.9,12.4,15.2
Masculin,Ensemble,National,14.6,13.9,14.7,13.8,12.9,15.8,16.9,15.8,16.8
Masculin,Ensemble,Urbain,16.3,14.2,11.5,10.6,11.9,14.1,15.5,14.1,14.1
Masculin,Ensemble,Rural,4.4,4.1,3.9,3.6,3.6,4.7,3.2,3.4,4.2
Masculin,Tanger-Tétouan-Al Hoceïma,National,16.3,14.2,11.5,10.6,11.9,14.1,15.5,14.1,14.1
Masculin,Tanger-Tétouan-Al Hoceïma,Urbain,14.8,12.0,9.1,8.4,9.2,11.5,13.4,11.8,12.1
Masculin,Tanger-Tétouan-Al Hoceïma,Rural,5.1,4.5,4.3,6.3,3.8,4.8,3.7,4.1,5.1
Masculin,Oriental,National,4.4,4.1,3.9,3.6,3.6,4.7,3.2,3.4,4.2
Masculin,Oriental,Urbain,5.1,4.5,4.3,6.3,3.8,4.8,3.7,4.1,5.1
Masculin,Oriental,Rural,11.7,11.4,11.7,3.6,10.5,17.8,12.8,12.8,16.1
Féminin,Ensemble,National,4.1,4.2,4.0,3.6,3.7,5.9,5.0,5.2,6.3
Féminin,Ensemble,Urbain,4.4,4.1,3.9,3.6,3.6,4.7,3.2,3.4,4.2
Féminin,Ensemble,Rural,10.0,10.8,11.0,5.0,9.2,15.9,11.9,12.4,15.2
Féminin,Tanger-Tétouan-Al Hoceïma,National,4.4,4.1,3.9,3.6,3.6,4.7,3.2,3.4,4.2
Féminin,Tanger-Tétouan-Al Hoceïma,Urbain,5.1,4.5,4.3,6.3,3.8,4.8,3.7,4.1,5.1
Féminin,Tanger-Tétouan-Al Hoceïma,Rural,11.7,11.4,11.7,3.6,10.5,17.8,12.8,12.8,16.1
Féminin,Oriental,National,10.0,10.8,11.0,5.0,9.2,15.9,11.9,12.4,15.2
Féminin,Oriental,Urbain,11.7,11.4,11.7,3.6,10.5,17.8,12.8,12.8,16.1
